Epoch 01 | Loss: 1.9928 | Train Acc: 0.3296 | Val Acc: 0.5437 | Time: 844.04s
Epoch 02 | Loss: 1.2235 | Train Acc: 0.5254 | Val Acc: 0.5327 | Time: 844.54s
Epoch 03 | Loss: 1.0381 | Train Acc: 0.5755 | Val Acc: 0.5912 | Time: 844.63s
Epoch 04 | Loss: 0.9485 | Train Acc: 0.6010 | Val Acc: 0.5946 | Time: 845.88s
Epoch 05 | Loss: 0.9155 | Train Acc: 0.6131 | Val Acc: 0.6125 | Time: 845.61s
Epoch 06 | Loss: 0.8936 | Train Acc: 0.6169 | Val Acc: 0.6105 | Time: 845.37s
Epoch 07 | Loss: 0.8749 | Train Acc: 0.6275 | Val Acc: 0.6215 | Time: 846.65s
Epoch 08 | Loss: 0.8376 | Train Acc: 0.6326 | Val Acc: 0.6132 | Time: 847.52s
Epoch 09 | Loss: 0.8255 | Train Acc: 0.6382 | Val Acc: 0.6352 | Time: 846.64s
Epoch 10 | Loss: 0.8180 | Train Acc: 0.6431 | Val Acc: 0.6270 | Time: 846.42s
Epoch 11 | Loss: 0.8461 | Train Acc: 0.6376 | Val Acc: 0.6318 | Time: 846.34s
Epoch 12 | Loss: 0.8297 | Train Acc: 0.6410 | Val Acc: 0.5795 | Time: 845.74s
Epoch 13 | Loss: 0.7928 | Train Acc: 0.6469 | Val Acc: 0.6655 | Time: 845.41s
Epoch 14 | Loss: 0.7651 | Train Acc: 0.6621 | Val Acc: 0.6256 | Time: 845.49s
Epoch 15 | Loss: 0.7874 | Train Acc: 0.6499 | Val Acc: 0.6476 | Time: 847.72s
Epoch 16 | Loss: 0.7648 | Train Acc: 0.6620 | Val Acc: 0.6462 | Time: 846.69s
Epoch 17 | Loss: 0.7431 | Train Acc: 0.6649 | Val Acc: 0.6373 | Time: 845.06s
Epoch 18 | Loss: 0.7187 | Train Acc: 0.6737 | Val Acc: 0.6407 | Time: 845.13s
Epoch 19 | Loss: 0.7022 | Train Acc: 0.6809 | Val Acc: 0.6813 | Time: 845.65s
Epoch 20 | Loss: 0.7279 | Train Acc: 0.6701 | Val Acc: 0.6703 | Time: 844.93s
Epoch 21 | Loss: 0.7234 | Train Acc: 0.6806 | Val Acc: 0.6490 | Time: 855.48s
Epoch 22 | Loss: 0.7022 | Train Acc: 0.6810 | Val Acc: 0.6538 | Time: 844.62s
Epoch 23 | Loss: 0.6817 | Train Acc: 0.6916 | Val Acc: 0.6586 | Time: 844.24s
Epoch 24 | Loss: 0.6970 | Train Acc: 0.6796 | Val Acc: 0.6497 | Time: 844.16s
Epoch 25 | Loss: 0.6798 | Train Acc: 0.6828 | Val Acc: 0.6380 | Time: 844.05s
Epoch 26 | Loss: 0.6798 | Train Acc: 0.6906 | Val Acc: 0.6407 | Time: 843.82s
Epoch 27 | Loss: 0.6931 | Train Acc: 0.6840 | Val Acc: 0.6249 | Time: 843.83s
Epoch 28 | Loss: 0.6504 | Train Acc: 0.7006 | Val Acc: 0.6793 | Time: 843.75s
Epoch 29 | Loss: 0.6779 | Train Acc: 0.6882 | Val Acc: 0.6869 | Time: 844.17s
Epoch 30 | Loss: 0.6267 | Train Acc: 0.7055 | Val Acc: 0.6889 | Time: 843.73s
Epoch 31 | Loss: 0.6328 | Train Acc: 0.7076 | Val Acc: 0.6917 | Time: 843.12s
Epoch 32 | Loss: 0.6338 | Train Acc: 0.7011 | Val Acc: 0.6524 | Time: 843.37s
Epoch 33 | Loss: 0.6153 | Train Acc: 0.7059 | Val Acc: 0.6827 | Time: 843.33s
Epoch 34 | Loss: 0.6013 | Train Acc: 0.7148 | Val Acc: 0.6848 | Time: 843.07s
Epoch 35 | Loss: 0.6148 | Train Acc: 0.7122 | Val Acc: 0.6834 | Time: 842.76s
Epoch 36 | Loss: 0.5827 | Train Acc: 0.7275 | Val Acc: 0.6841 | Time: 842.78s
Epoch 37 | Loss: 0.5984 | Train Acc: 0.7215 | Val Acc: 0.6738 | Time: 842.38s
